plat,model,sopir,hari,hard_brake,idle_minutes,overspeed,jarak_km,suhu_mesin,muatan_ton,tebal_rem_mm,kondisi_ban_pct,kondisi_aki_pct
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,35,14,34,7,474.5,84.3,16.5,8.99,95.9,96.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,36,12,36,6,306.2,88.7,14.8,8.96,95.8,96.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,37,14,22,6,358.7,86.7,15.0,8.93,95.7,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,38,19,37,7,359.1,90.2,14.7,8.9,95.7,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,39,16,46,6,336.1,88.0,15.5,8.87,95.6,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,40,16,41,5,303.3,85.0,12.4,8.85,95.5,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,41,15,32,8,280.0,91.3,12.7,8.82,95.5,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,42,12,30,9,348.8,88.2,13.8,8.8,95.4,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,43,15,32,6,378.2,91.7,11.6,8.77,95.3,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,44,18,38,6,320.9,89.8,14.3,8.74,95.2,95.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,45,12,37,8,398.2,84.8,12.3,8.71,95.2,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,46,14,54,4,304.6,87.8,13.8,8.68,95.1,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,47,14,47,5,350.2,87.3,13.0,8.66,95.0,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,48,12,37,9,373.3,86.9,14.1,8.63,95.0,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,49,14,42,5,276.4,81.9,14.1,8.61,94.9,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,50,17,36,6,376.2,87.2,15.1,8.57,94.8,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,51,17,29,3,331.7,83.6,15.1,8.54,94.8,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,52,13,24,5,268.9,91.4,14.6,8.52,94.7,95.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,53,16,38,7,413.3,85.0,12.2,8.49,94.6,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,54,13,35,2,413.8,81.0,14.8,8.46,94.5,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,55,14,37,5,362.9,85.2,13.3,8.43,94.5,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,56,13,44,7,362.5,84.0,13.7,8.4,94.4,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,57,13,32,4,438.4,84.4,12.9,8.37,94.3,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,58,12,30,5,348.3,84.7,11.9,8.34,94.3,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,59,12,39,6,386.7,89.0,14.2,8.31,94.2,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,60,12,36,8,326.4,87.7,14.0,8.29,94.1,95.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,61,18,31,8,330.4,84.6,14.1,8.26,94.0,95.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,62,15,46,7,361.6,91.4,14.8,8.23,93.9,95.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,63,14,43,5,315.3,84.1,12.8,8.2,93.9,95.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,64,15,33,1,336.2,85.1,15.2,8.17,93.8,95.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,65,14,50,8,329.6,90.1,14.7,8.15,93.8,95.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,66,15,40,6,364.2,89.1,16.7,8.12,93.7,95.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,67,15,32,3,458.9,85.9,14.7,8.08,93.6,95.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,68,19,36,6,429.1,88.0,14.8,8.04,93.5,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,69,12,42,7,275.6,88.1,11.3,8.02,93.4,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,70,19,28,9,306.3,88.3,12.8,7.99,93.4,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,71,17,33,7,351.8,82.6,14.7,7.96,93.3,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,72,14,41,6,346.8,91.7,17.1,7.93,93.2,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,73,16,33,6,306.0,84.8,13.6,7.9,93.2,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,74,19,34,4,353.3,87.2,14.0,7.87,93.1,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,75,16,35,7,308.1,92.0,14.3,7.84,93.0,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,76,16,30,7,386.8,83.1,11.8,7.81,93.0,95.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,77,15,32,7,280.0,82.0,14.3,7.79,92.9,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,78,14,22,8,279.1,94.4,13.2,7.77,92.8,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,79,16,45,8,460.2,82.1,12.5,7.73,92.7,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,80,15,40,6,260.9,88.1,13.7,7.71,92.7,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,81,14,21,7,359.0,92.0,13.9,7.68,92.6,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,82,16,40,4,494.9,85.4,14.6,7.63,92.5,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,83,16,30,9,365.6,86.0,14.2,7.6,92.4,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,84,16,35,7,258.3,84.4,11.2,7.58,92.4,95.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,85,19,47,7,295.3,93.8,13.2,7.55,92.3,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,86,14,36,7,386.4,88.7,13.8,7.52,92.2,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,87,16,34,7,378.4,88.9,14.8,7.49,92.2,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,88,14,38,7,280.0,85.8,14.8,7.47,92.1,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,89,18,40,9,329.1,87.4,15.0,7.44,92.0,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,90,10,44,3,405.8,88.7,11.0,7.41,91.9,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,91,10,43,8,302.6,84.0,14.7,7.39,91.9,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,92,15,41,7,438.1,89.6,14.9,7.35,91.8,95.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,93,14,32,6,452.3,85.4,14.3,7.32,91.7,95.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,94,10,39,10,299.6,96.2,14.2,7.3,91.6,95.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,95,10,33,8,461.0,88.8,16.0,7.26,91.5,95.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,96,12,31,4,317.7,88.9,14.3,7.24,91.5,95.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,97,17,29,5,362.3,84.8,15.7,7.21,91.4,95.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,98,14,32,7,329.6,82.9,12.6,7.18,91.3,95.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,99,16,27,8,313.0,88.5,13.2,7.15,91.2,95.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,100,13,36,8,337.4,86.5,15.0,7.13,91.2,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,101,16,35,5,355.5,86.1,14.4,7.1,91.1,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,102,12,37,5,400.8,84.6,13.1,7.07,91.0,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,103,16,35,10,261.4,87.0,15.5,7.05,91.0,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,104,14,29,5,262.3,90.7,13.6,7.02,90.9,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,105,14,22,4,431.6,87.6,15.5,6.99,90.8,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,106,17,29,10,458.2,85.0,9.4,6.95,90.7,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,107,14,36,5,338.8,84.2,15.2,6.92,90.6,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,108,15,41,8,231.4,84.3,13.2,6.91,90.6,95.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,109,20,36,7,247.6,87.1,15.3,6.88,90.5,95.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,110,17,39,6,354.4,81.6,12.8,6.85,90.5,95.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,111,15,31,7,376.7,90.8,15.2,6.82,90.4,95.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,112,15,39,8,323.1,85.7,13.9,6.79,90.3,95.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,113,14,41,5,419.8,85.5,14.6,6.76,90.2,95.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,114,15,29,6,369.4,86.5,12.3,6.73,90.2,95.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,115,18,35,5,440.1,88.5,12.4,6.69,90.1,95.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,116,13,34,7,385.3,89.5,14.7,6.66,90.0,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,117,17,36,5,350.8,86.4,10.6,6.63,89.9,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,118,14,37,6,315.5,89.4,12.8,6.6,89.9,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,119,16,27,10,339.1,85.7,15.5,6.57,89.8,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,120,14,44,7,344.5,86.0,15.6,6.55,89.7,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,121,15,37,7,358.3,88.2,13.8,6.52,89.6,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,122,15,28,7,256.4,87.5,13.6,6.5,89.6,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,123,16,29,3,331.7,83.5,11.7,6.47,89.5,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,124,16,45,5,346.8,85.7,13.1,6.44,89.5,94.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,125,16,41,5,353.5,90.5,14.9,6.41,89.4,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,126,16,43,8,407.6,87.1,13.5,6.37,89.3,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,127,15,32,3,335.6,87.7,13.2,6.35,89.2,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,128,14,34,8,331.2,90.7,10.5,6.32,89.2,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,129,17,43,8,240.3,89.7,13.9,6.3,89.1,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,130,10,43,8,246.3,87.2,15.8,6.28,89.1,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,131,17,40,2,391.1,86.0,15.3,6.25,89.0,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,132,15,35,7,341.5,86.6,13.3,6.22,88.9,94.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,133,12,38,5,340.0,87.5,11.3,6.19,88.9,94.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,134,11,33,7,391.9,81.9,14.8,6.17,88.8,94.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,135,14,30,5,395.1,87.5,14.1,6.14,88.7,94.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,136,15,40,6,354.0,90.1,13.6,6.11,88.6,94.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,137,16,32,6,345.3,88.2,15.6,6.08,88.5,94.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,138,15,26,7,486.0,87.0,11.8,6.04,88.4,94.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,139,15,35,6,403.0,90.8,14.9,6.0,88.4,94.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,140,15,42,4,311.6,84.8,14.0,5.98,88.3,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,141,16,34,5,404.6,85.9,14.1,5.94,88.2,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,142,16,35,6,407.7,87.1,15.1,5.91,88.1,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,143,16,47,7,386.1,90.0,14.1,5.87,88.1,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,144,14,32,5,298.7,87.6,13.2,5.85,88.0,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,145,15,34,6,381.6,85.0,14.8,5.82,87.9,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,146,18,37,5,317.2,85.9,13.2,5.79,87.9,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,147,13,36,6,361.4,90.2,13.7,5.76,87.8,94.6
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,148,12,33,7,388.2,88.2,13.2,5.73,87.7,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,149,16,41,5,348.7,92.7,13.0,5.7,87.6,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,150,11,43,8,325.9,86.3,12.4,5.68,87.6,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,151,15,42,5,399.2,88.0,14.8,5.65,87.5,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,152,14,33,3,319.8,90.1,12.8,5.62,87.4,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,153,13,39,7,388.9,83.2,17.3,5.59,87.3,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,154,12,36,6,285.7,85.5,14.0,5.57,87.3,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,155,14,41,6,277.2,82.4,14.8,5.55,87.2,94.5
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,156,12,37,7,296.3,89.3,11.8,5.53,87.2,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,157,15,35,6,286.2,83.8,16.1,5.5,87.1,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,158,17,39,8,397.5,85.7,14.1,5.47,87.0,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,159,12,34,8,314.7,89.7,14.1,5.44,86.9,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,160,12,28,8,381.4,87.0,13.6,5.42,86.9,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,161,15,40,8,434.8,87.8,13.8,5.38,86.8,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,162,15,38,7,422.9,93.0,13.7,5.34,86.7,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,163,19,42,6,433.4,91.7,13.4,5.3,86.6,94.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,164,18,41,10,327.7,85.6,11.4,5.28,86.5,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,165,16,37,5,346.5,82.7,15.6,5.24,86.4,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,166,14,53,6,309.2,85.4,12.2,5.22,86.4,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,167,16,32,8,335.9,90.8,15.0,5.19,86.3,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,168,15,44,8,513.0,85.4,14.1,5.15,86.2,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,169,18,26,8,375.2,84.0,12.2,5.12,86.1,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,170,13,21,5,385.2,85.2,15.8,5.09,86.0,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,171,18,43,6,223.1,84.5,13.8,5.06,86.0,94.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,172,13,34,9,260.5,92.1,15.2,5.04,85.9,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,173,15,31,5,261.6,91.8,16.0,5.02,85.9,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,174,12,32,7,334.5,80.9,13.1,5.0,85.8,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,175,19,31,6,288.0,88.4,14.1,4.97,85.7,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,176,13,27,8,262.7,88.2,11.2,4.95,85.7,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,177,16,41,8,342.1,91.4,17.0,4.92,85.6,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,178,14,32,6,324.7,84.8,13.3,4.89,85.5,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,179,18,40,5,216.0,82.0,14.7,4.87,85.5,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,180,11,37,5,356.0,86.8,14.2,4.85,85.4,94.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,181,14,32,5,377.6,89.1,12.4,4.82,85.4,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,182,15,36,6,360.2,85.4,14.4,4.79,85.3,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,183,16,36,7,405.5,81.1,15.2,4.75,85.2,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,184,15,28,7,329.1,85.9,13.3,4.73,85.1,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,185,15,30,8,343.4,85.6,15.0,4.7,85.1,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,186,14,41,8,277.6,90.0,12.1,4.68,85.0,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,187,17,47,7,232.4,89.8,16.9,4.66,84.9,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,188,14,35,4,368.2,90.5,14.9,4.63,84.9,94.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,189,21,35,4,360.4,79.4,13.3,4.59,84.8,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,190,18,37,6,451.1,85.8,15.6,4.55,84.7,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,191,15,37,4,324.5,82.5,13.9,4.52,84.6,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,192,16,28,9,366.3,86.8,15.0,4.49,84.6,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,193,13,36,5,436.7,83.5,14.1,4.45,84.5,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,194,15,37,5,301.7,84.9,14.7,4.43,84.4,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,195,15,40,7,225.8,87.4,16.9,4.41,84.4,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,196,17,37,5,377.3,88.9,13.7,4.38,84.3,94.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,197,15,44,5,292.8,88.7,14.6,4.35,84.2,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,198,17,38,5,374.8,83.2,13.7,4.32,84.2,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,199,16,33,10,246.9,85.0,12.8,4.3,84.1,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,200,13,31,4,392.4,85.0,14.2,4.27,84.0,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,201,14,31,9,401.8,81.0,11.4,4.24,83.9,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,202,17,32,4,408.5,87.2,14.3,4.2,83.9,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,203,16,27,4,438.0,82.3,12.4,4.16,83.8,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,204,13,47,7,404.1,87.2,13.2,4.13,83.7,93.9
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,205,16,26,5,391.3,82.6,13.8,4.1,83.6,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,206,15,32,3,316.4,84.2,14.2,4.07,83.6,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,207,15,37,5,379.8,82.0,11.6,4.04,83.5,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,208,10,32,5,394.4,84.7,14.4,4.02,83.4,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,209,16,31,7,406.1,82.9,14.0,3.98,83.3,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,210,13,28,4,285.5,86.8,11.9,3.96,83.3,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,211,14,40,7,321.8,91.7,16.5,3.93,83.2,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,212,15,20,7,224.8,91.1,15.4,3.91,83.2,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,213,18,36,6,326.2,85.0,15.3,3.88,83.1,93.8
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,214,16,36,5,495.6,89.4,11.9,3.84,83.0,93.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,215,14,40,5,370.3,89.5,9.6,3.82,82.9,93.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,216,15,34,6,367.6,88.6,14.2,3.79,82.8,93.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,217,14,39,6,338.3,82.7,12.0,3.76,82.8,93.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,218,12,37,6,269.6,88.6,15.8,3.74,82.7,93.7
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,219,14,24,5,398.0,88.3,12.8,3.71,82.6,93.7
